0.1 : xiii
0.2 : xiii,xiv
0.3 : xiv,xv
0.4 : xv
0.5 : xv,xvi
0.6 : xvi
0.7 : xvi,xvii
0.8 : xvii
0.9 : xvii,xviii
0.10 : xviii,xix
0.7n1 : xvii
1.3.14.23 : 166
1.3.14.24 : 166,167
1.3.14.25 : 167
1.3.14.26 : 167,168
1.3.14.27 : 168
1.3.14.28 : 168,169
1.3.14.29 : 169
1.3.14.30 : 169
1.3.14.31 : 169,170
1.3.14.32 : 170,171
1.3.14.33 : 171
1.3.14.34 : 171
1.3.14.35 : 172
1.3.14.36 : 172
1.3.14.1n27 : 155
1.3.14.5n28 : 157
1.3.14.7n29 : 158
1.3.14.12n30 : 633
1.3.14.17n31 : 163
1.3.14.25n32 : 167
1.3.15.1 : 173
1.3.15.2 : 173
1.3.15.3 : 173
1.3.15.4 : 173
1.3.15.5 : 173
1.3.15.6 : 173,174
1.3.15.7 : 174
1.3.15.8 : 174
1.3.15.9 : 174
1.3.15.10 : 174,175
1.3.15.11 : 175
1.3.15.12 : 175,176
1.3.15.1n33 : 173
1.3.16.1 : 176
1.3.16.2 : 176
1.3.16.3 : 176,177
1.3.16.4 : 177
1.3.16.5 : 177
1.3.16.6 : 177,178
1.3.16.7 : 178
1.3.16.8 : 178
1.3.16.9 : 178,179
1.4.1.1 : 180
1.4.1.2 : 180,181
1.4.1.3 : 181
1.4.1.4 : 181
1.4.1.5 : 181,182
1.4.1.6 : 182,183
1.4.1.7 : 183
1.4.1.8 : 183,184
1.4.1.9 : 184,185
1.4.1.10 : 185
1.4.1.11 : 185,186
1.4.1.12 : 186,187
1.4.2.1 : 187
1.4.2.2 : 187,188
1.4.2.3 : 188,189
1.4.2.4 : 189
1.4.2.5 : 189
1.4.2.6 : 189,190
1.4.2.7 : 190
1.4.2.8 : 190
1.4.2.9 : 190,191
1.4.2.10 : 191
1.4.2.11 : 191,192
1.4.2.12 : 192
1.4.2.13 : 192,193
1.4.2.14 : 193
1.4.2.15 : 194
1.4.2.16 : 194
1.4.2.17 : 194
1.4.2.18 : 194,195
1.4.2.19 : 195
1.4.2.20 : 195,196,197
1.4.2.21 : 197,198
1.4.2.22 : 198
1.4.2.23 : 198,199
1.4.2.24 : 199
1.4.2.25 : 199,200
1.4.2.26 : 200
1.4.2.27 : 200
1.4.2.28 : 200
1.4.2.29 : 200,201
1.4.2.30 : 201
1.4.2.31 : 201,202
1.4.2.32 : 202,203
1.4.2.33 : 203
1.4.2.34 : 203,204
1.4.2.35 : 204
1.4.2.36 : 205
1.4.2.37 : 205,206
1.4.2.38 : 206,207
1.4.2.39 : 207
1.4.2.40 : 207,208
1.4.2.41 : 208
1.4.2.42 : 208,209
1.4.2.43 : 209,210
1.4.2.44 : 210
1.4.2.45 : 210,211
1.4.2.46 : 211,212
1.4.2.47 : 212
1.4.2.48 : 212,213
1.4.2.49 : 213
1.4.2.50 : 213,214
1.4.2.51 : 214
1.4.2.52 : 214,215,216
1.4.2.53 : 216
1.4.2.54 : 216
1.4.2.55 : 217
1.4.2.56 : 217,218
1.4.2.57 : 218
1.4.2.2n34 : 188
1.4.2.9n35 : 191
1.4.2.22n36 : 198
1.4.2.29n37 : 200
1.4.2.32n38 : 202
1.4.2.35n39 : 203,204
1.4.2.37n40 : 206
1.4.2.55n41 : 217
1.4.3.1 : 219
1.4.3.2 : 219
1.4.3.3 : 220
1.4.3.4 : 220
1.4.3.5 : 221
1.4.3.6 : 221,222
1.4.3.7 : 222
1.4.3.8 : 222
1.4.3.9 : 222,223
1.4.3.10 : 224
1.4.3.11 : 224,225
1.4.4.1 : 225,226
1.4.4.2 : 226
