xiii : 0.1,0.2
xiv : 0.2,0.3
xv : 0.3,0.4,0.5
xvi : 0.5,0.6,0.7
xvii : 0.7,0.8,0.9,0.7n1
xviii : 0.9,0.10
xix : 0.10
256 : 1.4.6.8,1.4.6.9,1.4.6.10
257 : 1.4.6.11,1.4.6.12,1.4.6.13
258 : 1.4.6.13,1.4.6.14
259 : 1.4.6.15,1.4.6.16
260 : 1.4.6.16,1.4.6.17,1.4.6.18
261 : 1.4.6.18,1.4.6.19,1.4.6.20
262 : 1.4.6.20,1.4.6.21
263 : 1.4.6.22,1.4.6.23,1.4.7.1
264 : 1.4.7.1,1.4.7.2
265 : 1.4.7.2,1.4.7.3,1.4.7.4
266 : 1.4.7.4,1.4.7.5,1.4.7.4n51,1.4.7.5n52
267 : 1.4.7.5,1.4.7.6,1.4.7.7,1.4.7.7n53
268 : 1.4.7.7,1.4.7.8
269 : 1.4.7.8,1.4.7.9,1.4.7.10
270 : 1.4.7.10,1.4.7.11,1.4.7.12
271 : 1.4.7.12,1.4.7.13
272 : 1.4.7.13,1.4.7.14
273 : 1.4.7.14,1.4.7.15
274 : 1.4.7.15
275 : 2.1.1.1,2.1.1.2,2.1.1.1n54
276 : 2.1.1.2,2.1.1.3,2.1.1.4
277 : 2.1.1.4,2.1.2.1,2.1.2.2,2.1.2.3
278 : 2.1.2.3,2.1.2.4,2.1.2.5
279 : 2.1.2.5,2.1.2.6
280 : 2.1.3.1,2.1.3.2,2.1.3.3,2.1.3.4
281 : 2.1.3.4,2.1.3.5
282 : 2.1.3.5,2.1.3.6,2.1.3.7,2.1.4.1
283 : 2.1.4.2,2.1.4.3,2.1.4.4
284 : 2.1.4.4,2.1.4.5
285 : 2.1.5.1,2.1.5.2,2.1.5.3
286 : 2.1.5.3,2.1.5.4,2.1.5.5
287 : 2.1.5.5,2.1.5.6,2.1.5.7
288 : 2.1.5.7,2.1.5.8,2.1.5.9
289 : 2.1.5.9,2.1.5.10,2.1.5.11
290 : 2.1.5.11,2.1.6.1,2.1.6.2
291 : 2.1.6.2,2.1.6.3,2.1.6.4,2.1.6.2n55
292 : 2.1.6.4,2.1.6.5,2.1.6.6,2.1.6.7
293 : 2.1.6.7,2.1.6.8,2.1.6.9
294 : 2.1.6.9,2.1.6.10,2.1.7.1
295 : 2.1.7.1,2.1.7.2,2.1.7.3,2.1.7.4
296 : 2.1.7.4,2.1.7.5,2.1.7.6
297 : 2.1.7.6,2.1.7.7,2.1.7.8
298 : 2.1.7.8,2.1.8.1,2.1.8.2
299 : 2.1.8.2
300 : 2.1.8.3,2.1.8.4,2.1.8.5
301 : 2.1.8.5,2.1.8.6,2.1.8.7
302 : 2.1.8.7,2.1.8.8
303 : 2.1.8.8,2.1.8.9,2.1.9.1
304 : 2.1.9.1,2.1.9.2,2.1.9.3
305 : 2.1.9.3,2.1.9.4,2.1.9.5
306 : 2.1.9.5,2.1.9.6,2.1.9.7
307 : 2.1.9.8,2.1.9.9,2.1.9.10,2.1.9.11
308 : 2.1.9.11,2.1.9.12,2.1.9.13,2.1.9.13n56
309 : 2.1.9.13,2.1.10.1
310 : 2.1.10.1,2.1.10.2
311 : 2.1.10.2,2.1.10.3,2.1.10.4
312 : 2.1.10.4,2.1.10.5,2.1.10.6
313 : 2.1.10.6,2.1.10.7
314 : 2.1.10.7,2.1.10.8,2.1.10.9,2.1.10.9n57
315 : 2.1.10.9,2.1.10.10,2.1.10.11,2.1.10.12
316 : 2.1.10.12,2.1.11.1,2.1.11.2
317 : 2.1.11.2,2.1.11.3,2.1.11.4
318 : 2.1.11.4,2.1.11.5,2.1.11.6,2.1.11.7,2.1.11.6n58
319 : 2.1.11.7,2.1.11.8
320 : 2.1.11.8,2.1.11.9
321 : 2.1.11.9,2.1.11.10,2.1.11.11,2.1.11.12,2.1.11.9n59
322 : 2.1.11.12,2.1.11.13,2.1.11.14,2.1.11.15,2.1.11.16
323 : 2.1.11.16,2.1.11.17,2.1.11.18
324 : 2.1.11.18,2.1.11.19,2.1.12.1
325 : 2.1.12.1,2.1.12.2
326 : 2.1.12.2,2.1.12.3,2.1.12.4,2.1.12.5
327 : 2.1.12.5,2.1.12.6,2.1.12.7,2.1.12.8,2.1.12.9
328 : 2.1.12.9
329 : 2.2.1.1,2.2.1.2
330 : 2.2.1.2,2.2.1.3,2.2.1.4,2.2.1.5,2.2.1.6
331 : 2.2.1.6,2.2.1.7,2.2.1.8,2.2.1.9
332 : 2.2.1.9,2.2.2.1
333 : 2.2.2.2,2.2.2.3,2.2.2.4,2.2.2.5
334 : 2.2.2.5,2.2.2.6,2.2.2.7
335 : 2.2.2.7,2.2.2.8
336 : 2.2.2.9
337 : 2.2.2.9,2.2.2.10,2.2.2.11,2.2.2.12
338 : 2.2.2.12,2.2.2.13,2.2.2.14
339 : 2.2.2.14,2.2.2.15,2.2.2.16
340 : 2.2.2.16,2.2.2.17
341 : 2.2.2.17,2.2.2.18,2.2.2.19
342 : 2.2.2.19,2.2.2.20
343 : 2.2.2.20,2.2.2.21,2.2.2.22
344 : 2.2.2.22,2.2.2.23,2.2.2.24
345 : 2.2.2.24,2.2.2.25,2.2.2.26
346 : 2.2.2.26,2.2.2.27,2.2.2.28
347 : 2.2.2.28,2.2.2.28n60,2.2.2.28n61,2.2.2.28n62,2.2.2.28n63,2.2.2.28n64,2.2.3.1
348 : 2.2.3.2,2.2.3.3,2.2.3.4
349 : 2.2.3.4,2.2.3.5
350 : 2.2.3.5,2.2.3.6,2.2.3.7,2.2.3.8
351 : 2.2.3.8,2.2.3.9,2.2.3.10,2.2.4.1,2.2.4.2
352 : 2.2.4.2,2.2.4.3,2.2.4.4
353 : 2.2.4.4,2.2.4.5
354 : 2.2.4.6,2.2.4.7,2.2.4.8
355 : 2.2.4.8,2.2.4.9,2.2.4.10
356 : 2.2.4.10,2.2.4.11,2.2.4.12
357 : 2.2.4.12,2.2.4.13,2.2.5.1,2.2.5.2
358 : 2.2.5.2,2.2.5.3,2.2.5.4
359 : 2.2.5.4,2.2.5.5,2.2.5.6
360 : 2.2.5.6,2.2.5.7,2.2.5.8,2.2.5.9
361 : 2.2.5.9,2.2.5.10,2.2.5.11
362 : 2.2.5.11,2.2.5.12,2.2.5.13,2.2.5.14,2.2.5.15
363 : 2.2.5.15,2.2.5.16
364 : 2.2.5.16,2.2.5.17,2.2.5.18,2.2.5.19
365 : 2.2.5.19,2.2.5.20,2.2.5.21
366 : 2.2.6.1,2.2.6.2
367 : 2.2.6.2,2.2.6.3,2.2.6.4,2.2.6.5
368 : 2.2.6.5,2.2.6.6,2.2.7.1
369 : 2.2.7.1,2.2.7.2,2.2.7.3
370 : 2.2.7.3,2.2.7.4,2.2.7.5
371 : 2.2.7.5,2.2.7.6,2.2.7.6n*
372 : 2.2.8.1,2.2.8.2,2.2.8.3
373 : 2.2.8.3,2.2.8.4,2.2.8.4n65
374 : 2.2.8.4,2.2.8.5,2.2.8.6
375 : 2.2.8.6,2.2.8.7,2.2.8.8,2.2.8.9
376 : 2.2.8.9,2.2.8.10,2.2.8.11
377 : 2.2.8.11,2.2.8.12,2.2.8.13
378 : 2.2.8.13,2.2.8.14,2.2.8.15,2.2.8.16
379 : 2.2.8.17,2.2.8.18
380 : 2.2.8.18,2.2.8.19,2.2.8.20
381 : 2.2.9.1,2.2.9.2
382 : 2.2.9.2,2.2.9.3,2.2.9.4,2.2.9.5
383 : 2.2.9.5,2.2.9.6,2.2.9.7,2.2.9.8
384 : 2.2.9.8,2.2.9.9,2.2.9.10,2.2.9.11
385 : 2.2.9.11,2.2.9.12,2.2.9.13
386 : 2.2.9.13,2.2.9.14
